Freq.,IR2),fase
5.10089156626506e+003,-4.07478664924993e+001,-1.63355666875783e+002
5.14104819277108e+003,-4.07372652709732e+001,-1.63463352223790e+002
5.18120481927710e+003,-4.07268780405537e+001,-1.63569810705549e+002
5.22136144578313e+003,-4.07166992764158e+001,-1.63675059598997e+002
5.26151807228915e+003,-4.07067236245805e+001,-1.63779115981631e+002
5.30167469879517e+003,-4.06969458958610e+001,-1.63881996727123e+002
5.34183132530120e+003,-4.06873610600459e+001,-1.63983718502493e+002
5.38198795180722e+003,-4.06779642403096e+001,-1.64084297765782e+002
5.42214457831324e+003,-4.06687507078422e+001,-1.64183750764198e+002
5.46230120481927e+003,-4.06597158766870e+001,-1.64282093532695e+002
5.50245783132529e+003,-4.06508552987784e+001,-1.64379341892937e+002
5.54261445783132e+003,-4.06421646591719e+001,-1.64475511452634e+002
5.58277108433734e+003,-4.06336397714580e+001,-1.64570617605202e+002
5.62292771084336e+003,-4.06252765733511e+001,-1.64664675529731e+002
5.66308433734939e+003,-4.06170711224487e+001,-1.64757700191231e+002
5.70324096385541e+003,-4.06090195921508e+001,-1.64849706341127e+002
5.74339759036143e+003,-4.06011182677359e+001,-1.64940708517991e+002
5.78355421686746e+003,-4.05933635425840e+001,-1.65030721048480e+002
5.82371084337348e+003,-4.05857519145439e+001,-1.65119758048465e+002
5.86386746987951e+003,-4.05782799824353e+001,-1.65207833424336e+002
5.90402409638553e+003,-4.05709444426839e+001,-1.65294960874461e+002
5.94418072289155e+003,-4.05637420860804e+001,-1.65381153890785e+002
5.98433734939758e+003,-4.05566697946613e+001,-1.65466425760562e+002
6.02449397590360e+003,-4.05497245387050e+001,-1.65550789568194e+002
6.06465060240962e+003,-4.05429033738389e+001,-1.65634258197172e+002
6.10480722891565e+003,-4.05362034382526e+001,-1.65716844332114e+002
6.14496385542167e+003,-4.05296219500143e+001,-1.65798560460876e+002
6.18512048192770e+003,-4.05231562044842e+001,-1.65879418876737e+002
6.22527710843372e+003,-4.05168035718229e+001,-1.65959431680642e+002
6.26543373493974e+003,-4.05105614945896e+001,-1.66038610783501e+002
6.30559036144577e+003,-4.05044274854276e+001,-1.66116967908537e+002
6.34574698795179e+003,-4.04983991248328e+001,-1.66194514593660e+002
6.38590361445781e+003,-4.04924740590023e+001,-1.66271262193891e+002
6.42606024096384e+003,-4.04866499977606e+001,-1.66347221883795e+002
6.46621686746986e+003,-4.04809247125580e+001,-1.66422404659946e+002
6.50637349397589e+003,-4.04752960345422e+001,-1.66496821343406e+002
6.54653012048191e+003,-4.04697618526960e+001,-1.66570482582207e+002
6.58668674698793e+003,-4.04643201120424e+001,-1.66643398853853e+002
6.62684337349396e+003,-4.04589688119108e+001,-1.66715580467813e+002
6.66699999999998e+003,-4.04537060042656e+001,-1.66787037568019e+002
6.70715662650600e+003,-4.04485297920920e+001,-1.66857780135359e+002
6.74731325301203e+003,-4.04434383278374e+001,-1.66927817990168e+002
6.78746987951805e+003,-4.04384298119080e+001,-1.66997160794697e+002
6.82762650602407e+003,-4.04335024912160e+001,-1.67065818055584e+002
6.86778313253010e+003,-4.04286546577769e+001,-1.67133799126301e+002
6.90793975903612e+003,-4.04238846473551e+001,-1.67201113209589e+002
6.94809638554215e+003,-4.04191908381551e+001,-1.67267769359874e+002
6.98825301204817e+003,-4.04145716495574e+001,-1.67333776485665e+002
7.02840963855419e+003,-4.04100255408972e+001,-1.67399143351925e+002
7.06856626506022e+003,-4.04055510102834e+001,-1.67463878582425e+002
7.10872289156624e+003,-4.04011465934586e+001,-1.67527990662074e+002
7.14887951807226e+003,-4.03968108626956e+001,-1.67591487939218e+002
7.18903614457829e+003,-4.03925424257319e+001,-1.67654378627924e+002
7.22919277108431e+003,-4.03883399247387e+001,-1.67716670810224e+002
7.26934939759034e+003,-4.03842020353245e+001,-1.67778372438343e+002
7.30950602409636e+003,-4.03801274655709e+001,-1.67839491336896e+002
7.34966265060238e+003,-4.03761149551003e+001,-1.67900035205049e+002
7.38981927710841e+003,-4.03721632741744e+001,-1.67960011618663e+002
7.42997590361443e+003,-4.03682712228212e+001,-1.68019428032402e+002
7.47013253012045e+003,-4.03644376299913e+001,-1.68078291781809e+002
7.51028915662648e+003,-4.03606613527400e+001,-1.68136610085361e+002
7.55044578313250e+003,-4.03569412754375e+001,-1.68194390046484e+002
7.59060240963853e+003,-4.03532763090029e+001,-1.68251638655544e+002
7.63075903614455e+003,-4.03496653901632e+001,-1.68308362791807e+002
7.67091566265057e+003,-4.03461074807363e+001,-1.68364569225368e+002
7.71107228915660e+003,-4.03426015669358e+001,-1.68420264619052e+002
7.75122891566262e+003,-4.03391466586984e+001,-1.68475455530276e+002
7.79138554216864e+003,-4.03357417890325e+001,-1.68530148412899e+002
7.83154216867467e+003,-4.03323860133864e+001,-1.68584349619020e+002
7.87169879518069e+003,-4.03290784090374e+001,-1.68638065400767e+002
7.91185542168672e+003,-4.03258180744989e+001,-1.68691301912039e+002
7.95201204819274e+003,-4.03226041289463e+001,-1.68744065210233e+002
7.99216867469876e+003,-4.03194357116605e+001,-1.68796361257932e+002
8.03232530120479e+003,-4.03163119814886e+001,-1.68848195924570e+002
8.07248192771081e+003,-4.03132321163211e+001,-1.68899574988066e+002
8.11263855421683e+003,-4.03101953125851e+001,-1.68950504136427e+002
8.15279518072286e+003,-4.03072007847524e+001,-1.69000988969331e+002
8.19295180722888e+003,-4.03042477648637e+001,-1.69051034999675e+002
8.23310843373491e+003,-4.03013355020654e+001,-1.69100647655100e+002
8.27326506024093e+003,-4.02984632621623e+001,-1.69149832279484e+002
8.31342168674695e+003,-4.02956303271818e+001,-1.69198594134415e+002
8.35357831325298e+003,-4.02928359949528e+001,-1.69246938400634e+002
8.39373493975900e+003,-4.02900795786957e+001,-1.69294870179451e+002
8.43389156626503e+003,-4.02873604066258e+001,-1.69342394494138e+002
8.47404819277105e+003,-4.02846778215671e+001,-1.69389516291298e+002
8.51420481927708e+003,-4.02820311805788e+001,-1.69436240442201e+002
8.55436144578310e+003,-4.02794198545916e+001,-1.69482571744110e+002
8.59451807228913e+003,-4.02768432280555e+001,-1.69528514921567e+002
8.63467469879515e+003,-4.02743006985971e+001,-1.69574074627666e+002
8.67483132530118e+003,-4.02717916766876e+001,-1.69619255445300e+002
8.71498795180720e+003,-4.02693155853197e+001,-1.69664061888386e+002
8.75514457831323e+003,-4.02668718596939e+001,-1.69708498403060e+002
8.79530120481925e+003,-4.02644599469147e+001,-1.69752569368862e+002
8.83545783132528e+003,-4.02620793056941e+001,-1.69796279099890e+002
8.87561445783130e+003,-4.02597294060642e+001,-1.69839631845938e+002
8.91577108433732e+003,-4.02574097290985e+001,-1.69882631793605e+002
8.95592771084335e+003,-4.02551197666401e+001,-1.69925283067394e+002
8.99608433734937e+003,-4.02528590210382e+001,-1.69967589730785e+002
9.03624096385540e+003,-4.02506270048914e+001,-1.70009555787285e+002
9.07639759036142e+003,-4.02484232407994e+001,-1.70051185181462e+002
9.11655421686745e+003,-4.02462472611197e+001,-1.70092481799964e+002
9.15671084337347e+003,-4.02440986077333e+001,-1.70133449472507e+002
9.19686746987950e+003,-4.02419768318146e+001,-1.70174091972860e+002
9.23702409638552e+003,-4.02398814936099e+001,-1.70214413019796e+002
9.27718072289155e+003,-4.02378121622199e+001,-1.70254416278037e+002
9.31733734939757e+003,-4.02357684153898e+001,-1.70294105359175e+002
9.35749397590360e+003,-4.02337498393040e+001,-1.70333483822579e+002
9.39765060240962e+003,-4.02317560283874e+001,-1.70372555176282e+002
9.43780722891564e+003,-4.02297865851108e+001,-1.70411322877855e+002
9.47796385542167e+003,-4.02278411198028e+001,-1.70449790335260e+002
9.51812048192769e+003,-4.02259192504662e+001,-1.70487960907694e+002
9.55827710843372e+003,-4.02240206025992e+001,-1.70525837906408e+002
9.59843373493974e+003,-4.02221448090217e+001,-1.70563424595518e+002
9.63859036144577e+003,-4.02202915097058e+001,-1.70600724192799e+002
9.67874698795179e+003,-4.02184603516116e+001,-1.70637739870463e+002
9.71890361445782e+003,-4.02166509885263e+001,-1.70674474755923e+002
9.75906024096384e+003,-4.02148630809084e+001,-1.70710931932540e+002
9.79921686746987e+003,-4.02130962957355e+001,-1.70747114440367e+002
9.83937349397589e+003,-4.02113503063562e+001,-1.70783025276859e+002
9.87953012048192e+003,-4.02096247923461e+001,-1.70818667397594e+002
9.91968674698794e+003,-4.02079194393675e+001,-1.70854043716958e+002
9.95984337349396e+003,-4.02062339390319e+001,-1.70889157108835e+002
1.00000000000000e+004,-4.02045679887676e+001,-1.70924010407273e+002
